Genre,Diversity Index Coefficient,Diversity Index P-Value,Budget Coefficient,Budget P-Value,Year Coefficient,Year P-Value,R-Squared
Drama,69.36073636284107,0.24133469059685858,1.5046455605719118e-07,0.008907731607026476,0.45027239572432176,0.0009489582328855148,0.7244550898621331
Comedy,31.091373156317633,0.7003302639210394,-9.011525195680306e-09,0.9193861768323024,1.4049934624149407,1.924835120730461e-06,0.8319212186553829
Mystery & Thriller,16.489737802723795,0.8018774392418786,-2.1304787113660505e-08,0.9246903379892151,0.5100811539335302,0.030083395264528447,0.28981829819292215
Action,-8.020785363760595,0.9081934571263524,1.0992430019770601e-07,0.12077871483253252,0.856086514063211,0.004725472869998055,0.6823021232008706
Adventure,-80.40712401495486,0.4451235577188043,5.884705471902084e-08,0.5858588418716715,0.9086083999313963,0.03643912032599995,0.5420935054792108
Fantasy,182.73846331907956,0.030761777427110327,9.026502573342142e-08,0.33125058860326473,0.15985483999033245,0.7700122596981174,0.4665581287202498
Romance,-122.40154401249217,0.057165212099286815,5.590963671273262e-08,0.18541628563886425,1.4678256191765655,9.976028385968134e-07,0.7166213644658675
Horror,55.22605706160037,0.6694968989542913,2.8194097805319727e-07,0.2479547287312597,0.7930159020718245,0.020099327204136735,0.33990661242082965
Kids & Family,46.53430149540478,0.6311360519228887,1.1630772316467587e-07,0.2877931631586217,0.7099562826357524,0.13006438864261793,0.44182057760574134
Sci-Fi,8.717115481951737,0.908680590904297,1.060049820861696e-07,0.2027036643316893,0.17816013316883206,0.75107719320412,0.22490109804026004
